"","mean.relief","sd.relief","log.sponges","broad.macroalgae","broad.reef","distance.to.ramp","aspect","log.tpi","log.roughness","log.slope","depth","status"
"all greater than 20 cm",0.478,0.518,0.004,0,0.512,0,0.063,0.219,0.24,0.148,0.039,0.725
"all greater than 30 cm",0.965,0.019,0.033,0,0.021,0,0.02,0.285,0.723,0.207,0.17,0.358
"greater than legal size",0.344,0.038,0.328,0.51,0.01,0.004,0.5,0.028,0.215,0.259,0.221,0.208
"smaller than legal size",0.004,0.09,0.023,0.854,0.001,0.002,0.036,0.195,0.357,0.511,0.091,0.654
