"","mean.relief","sd.relief","log.sponges","broad.macroalgae","broad.reef","distance.to.ramp","aspect","log.tpi","log.roughness","log.slope","depth","status"
"Heterodontidae Heterodontus portusjacksoni",0.457,0.217,0.047,0.1,0.155,0.148,0.045,0.14,0.175,0.63,0.065,0.232
"Labridae Coris auricularis",0.01,0.966,0,0,0.03,0,0.004,0,0,0,0.99,1
"Sparidae Chrysophrys auratus",0.027,0,0.001,0.959,0.01,0,0.003,0.005,0.071,0.506,0.45,0.959
"total.abundance",1,0,0,0,0,0,0,1,0,0,0,1
"species.richness",0.999,0.628,0.082,0,0,0,0.05,0.179,0.043,0.058,0.037,0.548
