"","mean.relief","sd.relief","log.sponges","broad.macroalgae","broad.reef","distance.to.ramp","aspect","log.tpi","log.roughness","log.slope","depth","status"
"all greater than 20 cm",0.172,0.137,0.057,0,0.769,0,0.011,0.066,0.595,0.312,0,0.579
"all greater than 30 cm",0.002,0.042,0.172,0,0,0.55,0.012,0.041,0.276,0.628,0.434,0.481
"greater than legal size",0.155,0.049,0.755,0.001,0.073,0.012,0.062,0.145,0.084,0.843,0.006,0.738
"smaller than legal size",0.508,0,0,0,0.081,0.001,0,1,1,0,0.124,0.286
"sublegal size pink snapper",0.366,0.013,0.012,0,0.029,0.023,0.027,0.03,0.1,0.842,0.506,0.878
